,gmd1_timestamp_t,gmd1_t,mso_timestamp_t,mso_area_t
0,1683986777.117638,-7.037911e-11,1683986777.043763,-1.73809170442069e-08
1,1683986777.257576,-1.009367e-10,1683986777.243299,-3.19623195829235e-08
2,1683986777.457412,-1.177505e-10,1683986777.44305,-3.23119731122804e-08
3,1683986777.657643,-1.009877e-10,1683986777.643345,-2.84057814258589e-08
4,1683986777.858581,-6.285493e-11,1683986777.84387,-2.83866081474468e-08
5,1683986778.058496,-7.705832e-11,1683986778.043443,-2.87418026744567e-08
6,1683986778.257793,-1.130417e-10,1683986778.243329,-3.5206137441805e-08
7,1683986778.458413,-1.221269e-10,1683986778.44334,-2.32981100744432e-08
8,1683986778.658583,-1.224337e-10,1683986778.643367,-1.60403904180627e-08
9,1683986778.85882,-9.92986e-11,1683986778.843207,-1.87779346865909e-08
10,1683986779.059077,-8.123062e-11,1683986779.043265,-2.8201518189473e-08
11,1683986779.259043,-6.242009e-11,1683986779.243283,-2.36240978594247e-08
12,1683986779.459253,-7.664885e-11,1683986779.443238,-2.79027729889144e-08
13,1683986779.659018,-1.15012e-10,1683986779.643482,-2.44391469024591e-08
14,1683986779.858907,-1.245321e-10,1683986779.843257,-1.88139629689063e-08
15,1683986780.059647,-7.32708e-11,1683986780.043166,-2.221465700924e-08
16,1683986780.259345,-1.221778e-10,1683986780.243302,-2.4735637229249e-08
17,1683986780.459899,-6.326406e-11,1683986780.442971,-2.54467472257582e-08
18,1683986780.660009,-1.002962e-10,1683986780.643497,-2.98014379101394e-08
19,1683986780.860239,-9.881181e-11,1683986780.843324,-1.74996546533395e-08
20,1683986781.059904,-1.19696e-10,1683986781.043385,-2.31950093413098e-08
21,1683986781.260334,-1.021136e-10,1683986781.243396,-2.49369296050909e-08
22,1683986781.460186,-1.036497e-10,1683986781.443352,-2.4988923025901e-08
23,1683986781.660714,-5.939995e-11,1683986781.643347,-2.7639969913902e-08
24,1683986781.860939,-9.686732e-11,1683986781.843684,-2.4876295382336e-08
25,1683986782.060962,-8.338024e-11,1683986782.043346,-3.07760174486057e-08
26,1683986782.261114,-9.72002e-11,1683986782.243622,-2.75917248965792e-08
27,1683986782.461117,-9.530601e-11,1683986782.443444,-8.6508570212971e-09
28,1683986782.678349,-9.45391e-11,1683986782.643384,-2.31658333915915e-08
29,1683986782.87827,-6.428799e-11,1683986782.843408,-3.59524708470686e-08
30,1683986783.078232,-7.447432e-11,1683986783.043871,-2.16417786518225e-08
31,1683986783.278124,-1.012436e-10,1683986783.243858,-2.11230455851551e-08
32,1683986783.478111,-5.829937e-11,1683986783.44309,-2.93283092140879e-08
33,1683986783.678094,-8.256067e-11,1683986783.643575,-2.16516008823242e-08
34,1683986783.878211,-1.10764e-10,1683986783.843478,-2.2376248343405e-08
35,1683986784.078181,-1.178271e-10,1683986784.043538,-2.03061615927913e-08
36,1683986784.278329,-1.039305e-10,1683986784.243471,-3.17261167938469e-08
37,1683986784.478103,-1.072579e-10,1683986784.443737,-2.94367795523457e-08
38,1683986784.678068,-9.702087e-11,1683986784.643385,-2.18398849692388e-08
39,1683986784.878232,-7.800566e-11,1683986784.843492,-2.22405215144085e-08
40,1683986785.083131,-7.293796e-11,1683986785.043826,-2.92012244349323e-08
41,1683986785.278122,-6.912521e-11,1683986785.243591,-1.22713227297346e-08
42,1683986785.477927,-1.240972e-10,1683986785.44384,-2.21391079669911e-08
43,1683986785.683032,-9.412841e-11,1683986785.643667,-1.83032658050437e-08
44,1683986785.883065,-7.83897e-11,1683986785.843752,-2.70541867568217e-08
45,1683986786.083359,-9.883757e-11,1683986786.043793,-1.94551654459674e-08
46,1683986786.283015,-1.018068e-10,1683986786.243977,-1.7842213686477e-08
47,1683986786.483128,-8.007837e-11,1683986786.443223,-2.52442763878579e-08
48,1683986786.68317,-8.222812e-11,1683986786.643821,-2.73337780453079e-08
49,1683986786.883188,-8.565813e-11,1683986786.844398,-3.33460905119278e-08
50,1683986787.083181,-6.687258e-11,1683986787.043875,-2.0301936434799e-08
51,1683986787.283275,-8.361012e-11,1683986787.244189,-3.4121404836097e-08
52,1683986787.483106,-9.371928e-11,1683986787.443639,-3.66082990555409e-08
53,1683986787.683082,-2.28795e-11,1683986787.644132,-2.74251739280751e-08
54,1683986787.883179,-1.208728e-10,1683986787.843432,-2.63295823961245e-08
55,1683986788.083187,-6.503017e-11,1683986788.043478,-2.55631297148191e-08
56,1683986788.282956,-7.429476e-11,1683986788.243635,-3.78501727873559e-08
57,1683986788.482998,-9.689256e-11,1683986788.443644,-2.34848881409483e-08
58,1683986788.664262,-1.366385e-10,1683986788.643576,-2.3373286109798e-08
59,1683986788.865048,-5.625228e-11,1683986788.843237,-2.96043597662616e-08
60,1683986789.065245,-9.965635e-11,1683986789.043531,-2.56074302161069e-08
61,1683986789.265364,-7.621392e-11,1683986789.243765,-3.2821143458504e-08
62,1683986789.46527,-8.028354e-11,1683986789.442988,-3.2176771520509e-08
63,1683986789.683106,-9.996401e-11,1683986789.643292,-2.50737687841356e-08
64,1683986789.883021,-9.681613e-11,1683986789.843448,-1.44852236951787e-08
65,1683986790.083118,-9.592004e-11,1683986790.043505,-2.86322886067376e-08
66,1683986790.282994,-7.982259e-11,1683986790.243406,-1.74945100187715e-08
67,1683986790.482935,-8.460806e-11,1683986790.443433,-2.68458836981399e-08
68,1683986790.683114,-8.826777e-11,1683986790.643372,-2.71475503700949e-08
69,1683986790.88299,-8.243286e-11,1683986790.843312,-3.95868096704666e-08
70,1683986791.083136,-1.077437e-10,1683986791.043273,-1.97835667707948e-08
71,1683986791.283171,-9.279812e-11,1683986791.24327,-3.12361469799072e-08
72,1683986791.482953,-9.430772e-11,1683986791.443342,-3.27806343218672e-08
73,1683986791.683049,-7.508826e-11,1683986791.643238,-3.48787685259732e-08
74,1683986791.883065,-1.10764e-10,1683986791.843324,-2.68254983444948e-08
75,1683986792.082963,-7.836397e-11,1683986792.043578,-3.10443101581541e-08
76,1683986792.282959,-8.396794e-11,1683986792.243371,-2.5133177915397e-08
77,1683986792.482805,-7.273362e-11,1683986792.443561,-2.33804638299345e-08
