,gmd1_timestamp_t,gmd1_t,mso_timestamp_t,mso_area_t
0,1683986186.144825,3.480744e-12,1683986186.043564,9.974639869127422e-07
1,1683986186.284127,7.306957e-10,1683986186.243459,1.1572313778603e-08
2,1683986186.484816,4.376527e-12,1683986186.443108,7.189145061477948e-07
3,1683986186.684576,1.38458e-11,1683986186.643481,-1.32780892940944e-08
4,1683986186.884482,1.598018e-10,1683986186.843479,4.12491719494273e-08
5,1683986187.084353,6.177565e-10,1683986187.043466,2.833323813409185e-07
6,1683986187.284512,5.751436e-10,1683986187.243427,4.583419724131568e-07
7,1683986187.484366,2.758391e-10,1683986187.443411,5.9752092845344e-07
8,1683986187.684611,1.09921e-09,1683986187.643263,5.003205772571716e-07
9,1683986187.884442,3.646211e-10,1683986187.843233,7.797277933691059e-07
10,1683986188.084469,3.944098e-10,1683986188.044008,5.876176249161962e-07
11,1683986188.284931,8.658068e-11,1683986188.243362,1.7471226249272e-07
12,1683986188.716262,-4.444043e-11,1683986188.443417,2.425970313241202e-07
13,1683986188.8517,-1.832425e-11,1683986188.643413,9.580011603005431e-07
14,1683986188.884497,1.455967e-10,1683986188.843393,7.670126605244201e-07
15,1683986189.08476,1.580865e-10,1683986189.042921,2.630267239565651e-07
16,1683986189.284884,4.186212e-10,1683986189.243318,3.126975855177504e-07
17,1683986189.484952,5.522947e-11,1683986189.443105,5.830107978994156e-07
18,1683986189.702261,3.122351e-11,1683986189.643431,2.65534366490272e-08
19,1683986189.902245,1.221974e-09,1683986189.843367,5.17060167468395e-08
20,1683986190.102302,1.420236e-09,1683986190.043212,8.69182924851857e-07
21,1683986190.302266,3.295566e-10,1683986190.243207,9.143556729631638e-07
22,1683986190.502009,4.476185e-11,1683986190.443256,4.726531860541329e-07
23,1683986190.702142,8.526221e-10,1683986190.643345,4.01152520153597e-08
24,1683986190.902381,1.392012e-09,1683986190.843375,6.812145927447632e-07
25,1683986191.102349,-2.99416e-12,1683986191.043371,8.884136459968939e-07
26,1683986191.302211,8.451971e-10,1683986191.243206,-6.6129632688572e-09
27,1683986191.502173,4.824237e-11,1683986191.443145,7.093968749824522e-07
28,1683986191.702189,1.847811e-11,1683986191.643274,3.6267244099303e-08
29,1683986191.902223,7.067448e-10,1683986191.843916,4.93588681503437e-08
30,1683986192.102103,-1.346147e-11,1683986192.043259,6.308569952556778e-07
31,1683986192.302086,6.334715e-10,1683986192.243161,-9.50452788464e-09
32,1683986192.501998,8.166642e-11,1683986192.443154,7.247706895149162e-07
33,1683986192.684952,1.834229e-10,1683986192.64331,4.0923711652104e-08
34,1683986192.885019,1.670617e-09,1683986192.843311,4.635036084719242e-07
35,1683986193.085176,1.142972e-09,1683986193.043481,9.63171948591992e-07
36,1683986193.28542,4.619507e-10,1683986193.243498,8.663607590010577e-07
37,1683986193.486106,9.136778e-12,1683986193.443247,6.616433255853278e-07
38,1683986193.68524,1.094607e-10,1683986193.643455,-8.5252824932647e-09
39,1683986193.885354,1.533524e-10,1683986193.843394,2.44024750269309e-07
40,1683986194.085301,9.398422e-10,1683986194.043394,2.114291660138878e-07
41,1683986194.285683,7.641736e-10,1683986194.243235,8.040591103886027e-07
42,1683986194.485538,1.05688e-09,1683986194.443249,7.251983393081802e-07
43,1683986194.68577,2.899674e-10,1683986194.643378,8.638416069607555e-07
44,1683986194.885124,6.975289e-10,1683986194.843766,5.369102486484558e-07
45,1683986195.08557,1.313908e-09,1683986195.04332,6.2224593409897e-07
46,1683986195.285392,2.328177e-10,1683986195.243406,8.499203913856074e-07
47,1683986195.485407,1.326579e-09,1683986195.443067,3.395958026796761e-07
48,1683986195.702063,4.886166e-10,1683986195.64336,9.940649228155023e-07
49,1683986195.902032,6.751354e-11,1683986195.843289,6.77636096195006e-07
50,1683986196.102069,2.318713e-11,1683986196.043346,1.106886815226488e-07
51,1683986196.302074,8.920605e-10,1683986196.243175,4.1080626253697e-08
52,1683986196.502103,1.615671e-10,1683986196.44338,7.889327431628279e-07
53,1683986196.70205,7.693163e-11,1683986196.64335,4.008723411297763e-07
54,1683986196.90197,2.001374e-11,1683986196.843288,3.473339108998574e-07
55,1683986197.102153,7.464877e-10,1683986197.04359,-1.59730754392733e-08
56,1683986197.302048,1.514883e-09,1683986197.243224,7.333921461671367e-07
57,1683986197.502027,1.41605e-10,1683986197.443341,9.165931196279462e-07
58,1683986197.701987,2.032228e-09,1683986197.643164,2.801408556015717e-07
59,1683986197.902003,3.314269e-11,1683986197.843153,8.668799518672344e-07
60,1683986198.10214,7.462573e-10,1683986198.043195,6.77254311201602e-08
61,1683986198.301963,1.100938e-09,1683986198.24323,6.927026630856059e-07
62,1683986198.501948,6.651531e-11,1683986198.443087,8.13470100472012e-07
63,1683986198.68526,1.652728e-09,1683986198.643284,1.234019122500706e-07
64,1683986198.885628,7.85444e-11,1683986198.843276,9.272653330936132e-07
65,1683986199.085496,4.632325e-11,1683986199.043473,1.065406241092401e-07
66,1683986199.285581,6.666873e-10,1683986199.243412,1.04446061239852e-08
67,1683986199.485376,5.553369e-10,1683986199.443223,6.664395761062606e-07
68,1683986199.684924,9.422479e-10,1683986199.643382,7.017619640766959e-07
69,1683986199.884879,2.399568e-10,1683986199.84331,7.277838965388806e-07
70,1683986200.085395,4.210021e-11,1683986200.043299,3.928898336582793e-07
71,1683986200.2853,1.888759e-11,1683986200.243353,1.75330868635579e-08
72,1683986200.485294,2.787059e-11,1683986200.443359,2.27466543296643e-08
73,1683986200.684961,1.076948e-10,1683986200.643456,3.12146374333947e-08
74,1683986200.885487,9.505174e-11,1683986200.843461,1.776518246826171e-07
75,1683986201.085026,1.757711e-10,1683986201.043482,1.339336822274448e-07
76,1683986201.284895,1.53367e-09,1683986201.243568,5.0319638858203e-07
77,1683986201.485004,3.357782e-11,1683986201.443033,8.606368969257427e-07
78,1683986201.685167,3.675119e-11,1683986201.643447,6.63314530625633e-08
79,1683986201.88472,9.395125e-11,1683986201.84348,1.10305804294915e-08
80,1683986202.08427,1.117865e-09,1683986202.043488,4.144620753088446e-07
81,1683986202.28434,6.13636e-10,1683986202.243478,8.23470511998854e-07
82,1683986202.484845,5.082742e-11,1683986202.443395,6.36684383160962e-07
83,1683986202.684275,3.162752e-10,1683986202.643466,6.74424929304911e-08
84,1683986202.884189,4.094056e-10,1683986202.843339,5.962031332143663e-07
85,1683986203.084151,1.16872e-09,1683986203.043387,5.205083010665167e-07
86,1683986203.284301,4.737967e-10,1683986203.243364,9.011390004480718e-07
87,1683986203.48415,6.046819e-10,1683986203.443383,6.263643507813449e-07
88,1683986203.684014,8.219138e-10,1683986203.643281,6.415762992526171e-07
89,1683986203.884357,7.073847e-11,1683986203.843176,6.840952540196934e-07
90,1683986204.083931,2.262399e-10,1683986204.04345,1.636862194405891e-07
91,1683986204.283665,1.406322e-10,1683986204.243372,3.676711643786915e-07
92,1683986204.48335,1.215269e-09,1683986204.443185,2.704601736138029e-07
93,1683986204.683451,4.623841e-10,1683986204.643356,8.632973020994112e-07
94,1683986204.883422,2.14902e-10,1683986204.843449,5.8247455163999e-07
95,1683986205.083462,8.635773e-10,1683986205.043506,5.039052962047775e-07
96,1683986205.283824,-4.307195e-11,1683986205.243471,7.555797381939211e-07
97,1683986205.483039,4.903808e-10,1683986205.443465,-1.71922062693485e-08
98,1683986205.683514,3.066014e-11,1683986205.643481,5.696065184196389e-07
99,1683986205.8833,3.045557e-11,1683986205.843336,2.37211071326363e-08
100,1683986206.082812,1.499865e-09,1683986206.043459,2.08165700134155e-08
101,1683986206.282784,1.823838e-09,1683986206.243447,8.29725546853351e-07
102,1683986206.482664,9.843462e-10,1683986206.443523,1.0674867580866e-06
103,1683986206.701613,1.799185e-11,1683986206.643408,7.763450517665203e-07
104,1683986206.90169,9.904902e-10,1683986206.843304,2.2056211843899e-08
105,1683986207.101609,8.029225e-10,1683986207.043229,8.279013103237489e-07
106,1683986207.30147,2.861766e-10,1683986207.243341,6.57925077698998e-07
107,1683986207.50159,1.023656e-09,1683986207.443104,3.71496956839045e-07
108,1683986207.701767,3.608591e-11,1683986207.643444,8.101549837397168e-07
109,1683986207.901653,1.893881e-09,1683986207.843257,1.976928809187391e-10
110,1683986208.10168,8.925739e-10,1683986208.043415,9.080019188960838e-07
111,1683986208.301731,1.136065e-10,1683986208.243279,7.945282561653966e-07
112,1683986208.50173,1.809409e-11,1683986208.443331,1.588866120042543e-07
113,1683986208.701727,3.769839e-11,1683986208.643306,4.22171021420333e-08
114,1683986208.901619,5.605056e-10,1683986208.843205,-9.6988212448736e-09
115,1683986209.101663,1.265562e-10,1683986209.043197,6.340543587984981e-07
116,1683986209.301723,3.925898e-10,1683986209.243202,6.42815937724839e-08
117,1683986209.501481,1.11968e-10,1683986209.443222,5.332575295385004e-07
118,1683986209.701529,-1.673731e-11,1683986209.643132,7.34367509677546e-08
119,1683986209.896502,1.717024e-10,1683986209.843432,-1.28969710493081e-08
120,1683986210.101493,8.460192e-10,1683986210.043389,4.601618907848895e-07
121,1683986210.296466,-9.211638e-13,1683986210.243232,7.809465293745337e-07
122,1683986210.501682,8.271318e-10,1683986210.443063,-1.9789061044663e-09
123,1683986210.696535,6.336251e-10,1683986210.643167,7.661764451795186e-07
124,1683986210.901403,1.231821e-09,1683986210.843371,6.316643379297902e-07
125,1683986211.096379,2.070464e-11,1683986211.043478,8.492927295278567e-07
126,1683986211.301468,-6.014051e-12,1683986211.243343,-1.78070558275605e-08
127,1683986211.496483,2.185113e-10,1683986211.443515,-1.83940638259854e-08
